REFERENCE	 DEGRADED	 PESQMOS	 MOSLQO	 SAMPLE_FREQ	 MODE
sounds\F05_441C0207_BUS_clean.wav	 sounds\F05_441C0207_BUS_DSB.wav	 -1.000	 1.076	 16000	wb
sounds\F05_441C0207_BUS_clean.wav	 sounds\F05_441C0207_BUS_MVDR.wav	 -1.000	 1.147	 16000	wb
sounds\F05_441C0207_BUS_clean.wav	 sounds\F05_441C0207_BUS.wav	 -1.000	 1.337	 16000	wb
sounds\F05_441C020T_BUS_clean.wav	 sounds\F05_441C020T_BUS_DSB.wav	 -1.000	 1.067	 16000	wb
sounds\F05_441C020T_BUS_clean.wav	 sounds\F05_441C020T_BUS_MVDR.wav	 -1.000	 1.124	 16000	wb
sounds\F05_441C020T_BUS_clean.wav	 sounds\F05_441C020T_BUS.wav	 -1.000	 1.303	 16000	wb
sounds\F05_441C0214_BUS_clean.wav	 sounds\F05_441C0214_BUS_DSB.wav	 -1.000	 1.081	 16000	wb
sounds\F05_441C0214_BUS_clean.wav	 sounds\F05_441C0214_BUS_MVDR.wav	 -1.000	 1.175	 16000	wb
sounds\F05_441C0214_BUS_clean.wav	 sounds\F05_441C0214_BUS.wav	 -1.000	 1.331	 16000	wb
sounds\F05_442C0201_BUS_clean.wav	 sounds\F05_442C0201_BUS_DSB.wav	 -1.000	 1.119	 16000	wb
sounds\F05_442C0201_BUS_clean.wav	 sounds\F05_442C0201_BUS_MVDR.wav	 -1.000	 1.280	 16000	wb
sounds\F05_442C0201_BUS_clean.wav	 sounds\F05_442C0201_BUS.wav	 -1.000	 1.464	 16000	wb
sounds\F05_442C020A_BUS_clean.wav	 sounds\F05_442C020A_BUS_DSB.wav	 -1.000	 1.077	 16000	wb
sounds\F05_442C020A_BUS_clean.wav	 sounds\F05_442C020A_BUS_MVDR.wav	 -1.000	 1.212	 16000	wb
sounds\F05_442C020A_BUS_clean.wav	 sounds\F05_442C020A_BUS.wav	 -1.000	 1.298	 16000	wb
sounds\F05_442C020H_BUS_clean.wav	 sounds\F05_442C020H_BUS_DSB.wav	 -1.000	 1.058	 16000	wb
sounds\F05_442C020H_BUS_clean.wav	 sounds\F05_442C020H_BUS_MVDR.wav	 -1.000	 1.092	 16000	wb
sounds\F05_442C020H_BUS_clean.wav	 sounds\F05_442C020H_BUS.wav	 -1.000	 1.154	 16000	wb
sounds\F05_442C020I_BUS_clean.wav	 sounds\F05_442C020I_BUS_DSB.wav	 -1.000	 1.073	 16000	wb
sounds\F05_442C020I_BUS_clean.wav	 sounds\F05_442C020I_BUS_MVDR.wav	 -1.000	 1.128	 16000	wb
sounds\F05_442C020I_BUS_clean.wav	 sounds\F05_442C020I_BUS.wav	 -1.000	 1.068	 16000	wb
sounds\F05_442C020N_BUS_clean.wav	 sounds\F05_442C020N_BUS_DSB.wav	 -1.000	 1.078	 16000	wb
sounds\F05_442C020N_BUS_clean.wav	 sounds\F05_442C020N_BUS_MVDR.wav	 -1.000	 1.170	 16000	wb
sounds\F05_442C020N_BUS_clean.wav	 sounds\F05_442C020N_BUS.wav	 -1.000	 1.284	 16000	wb
sounds\F05_442C020P_BUS_clean.wav	 sounds\F05_442C020P_BUS_DSB.wav	 -1.000	 1.074	 16000	wb
sounds\F05_442C020P_BUS_clean.wav	 sounds\F05_442C020P_BUS_MVDR.wav	 -1.000	 1.163	 16000	wb
sounds\F05_442C020P_BUS_clean.wav	 sounds\F05_442C020P_BUS.wav	 -1.000	 1.166	 16000	wb
sounds\F05_442C020T_BUS_clean.wav	 sounds\F05_442C020T_BUS_DSB.wav	 -1.000	 1.211	 16000	wb
